Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,loan_approved,TotalIncome,Income_Loan_Ratio
LP001002,Male,No,0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,Y,1,5849.0,
LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,0,6091.0,47.5859375
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,1,3000.0,45.45454545454545
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,1,4941.0,41.175
LP001008,Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,1,6000.0,42.5531914893617
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,1,9613.0,36.00374531835206
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,1,3849.0,40.51578947368421
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,0,5540.0,35.063291139240505
LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,1,5532.0,32.92857142857143
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,0,23809.0,68.22063037249283
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,1,3900.0,55.714285714285715
LP001027,Male,Yes,2,Graduate,,2500,1840.0,109.0,360.0,1.0,Urban,Y,1,4340.0,39.81651376146789
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,1,11179.0,55.895
LP001029,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,0,4693.0,41.166666666666664
LP001030,Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y,1,2385.0,140.2941176470588
LP001032,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,1,4950.0,39.6
LP001034,Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,,Urban,Y,1,3596.0,35.96
LP001036,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,0,3510.0,46.18421052631579
LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N,0,4887.0,36.744360902255636
LP001041,Male,Yes,0,Graduate,,2600,3500.0,115.0,,1.0,Urban,Y,1,6100.0,53.04347826086956
LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,0,7660.0,73.65384615384616
LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y,1,11580.0,36.76190476190476
LP001047,Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N,0,4511.0,38.88793103448276
LP001050,,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N,0,5282.0,47.160714285714285
LP001052,Male,Yes,1,Graduate,,3717,2925.0,151.0,360.0,,Semiurban,N,0,6642.0,43.98675496688742
LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,1,9560.0,50.05235602094241
LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,1,5052.0,41.40983606557377
LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y,1,5266.0,47.872727272727275
LP001086,Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N,0,1442.0,41.2
LP001087,Female,No,2,Graduate,,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,1,5833.0,48.608333333333334
LP001091,Male,Yes,1,Graduate,,4166,3369.0,201.0,360.0,,Urban,N,0,7535.0,37.48756218905473
LP001095,Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N,0,3167.0,42.7972972972973
LP001097,Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N,0,4692.0,44.264150943396224
LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y,1,5167.0,45.324561403508774
LP001100,Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N,0,15500.0,48.4375
LP001106,Male,Yes,0,Graduate,No,2275,2067.0,128.0,360.0,1.0,Urban,Y,1,4342.0,
LP001109,Male,Yes,0,Graduate,No,1828,1330.0,100.0,,0.0,Urban,N,0,3158.0,31.58
LP001112,Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y,1,5126.0,35.59722222222222
LP001114,Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y,1,11376.0,61.82608695652174
LP001116,Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,1,5416.0,49.236363636363635
LP001119,Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N,0,3600.0,45.0
LP001120,Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y,1,3013.0,64.1063829787234
LP001123,Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,,Urban,Y,1,2400.0,32.0
LP001131,Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y,1,6277.0,46.843283582089555
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,,1.0,Urban,Y,1,4695.0,48.90625
LP001137,Female,No,0,Graduate,No,3410,0.0,88.0,,1.0,Urban,Y,1,3410.0,38.75
LP001138,Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,Y,1,5649.0,128.38636363636363
LP001144,Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,Y,1,5821.0,40.423611111111114
LP001146,Female,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,N,0,6085.0,50.708333333333336
LP001151,Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,Y,1,6275.0,43.576388888888886
LP001155,Female,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,Y,1,3572.0,35.72
LP001157,Female,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,Y,1,3086.0,25.716666666666665
LP001164,Female,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,N,0,4230.0,37.767857142857146
LP001179,Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,N,0,4616.0,34.44776119402985
LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,N,0,11500.0,40.20979020979021
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y,1,3875.0,39.94845360824742
LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,Y,1,3723.0,38.78125
LP001197,Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,N,0,5566.0,41.22962962962963
LP001198,Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,Y,1,10330.0,57.388888888888886
LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,Y,1,6216.0,43.166666666666664
LP001205,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y,1,6296.0,52.46666666666667
LP001206,Male,Yes,3+,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,Y,1,3029.0,30.595959595959595
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,N,0,6058.0,36.71515151515152
LP001213,Male,Yes,1,Graduate,No,4945,0.0,128.0,360.0,0.0,Rural,N,0,4945.0,
LP001222,Female,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,N,0,4166.0,35.91379310344828
LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,N,0,10321.0,40.00387596899225
LP001228,Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,N,0,5454.0,43.285714285714285
LP001233,Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,Y,1,10750.0,34.455128205128204
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,Y,1,7100.0,56.8
LP001241,Female,No,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,N,0,4300.0,31.61764705882353
LP001243,Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,Y,1,6274.0,36.47674418604651
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,Y,1,3750.0,38.65979381443299
LP001248,Male,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,Y,1,3500.0,43.20987654320987
LP001250,Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,,0.0,Semiurban,N,0,4755.0,50.05263157894737
